,beta.Bourbonene,beta.Copaen.4a.ol,Sesquisabinene,gamma.Muurolene,X.Z..3.Hexenyl..E..2.methyl.2.butenoate,alpha.Copaene,alpha.Cubebene,beta.Bisabolene,beta.Copaene,beta.Myrcene,gamma.Terpinene,X2.methylbutyl.acetate,Isohexanol,Cyclosativene,p.Mentha.1.3.8.triene,X2.2.6.Trimethyl.1.4.cyclohexanedione,X2.6.Dimethylocta.1.5.7.trien.3.ol,X2.Methyl.6.methylene.1.7.octadien.3.one,X2.6.Dimethyl.1.7.octadien.3.6.diol,Linalool.Oxide,X2.Heptanol,X.Z..2.Hexenol,X.E..2.Hexenal,Allo.Ocimene,Cosmene,X4.Oxoisophorone,beta.Dihydroagarofuran,Terpinen.4.ol,X.E..3.Hexenyl.acetate,X.Z..3.Hexenyl.propanoate,Methyl.3.hexenoate,Rose.furan,X2.6.Dimethyl.3.7.octadien.2.6.diol,Car.3.en.5.one,X.E..Sabinene.hydrate,Heptyl.acetate,Pentyl.acetate,Anisole,Borneol,alpha.Thujene,Verbenone,X.E..Pinocarveol,Pinocamphone,X.Z..Caryophyllene,X2.Methylbutanoic.acid,X.E..3.Hexenyl.butanoate,X.Z..3.Hexenyl.butanoate,X.Z..3.Methylbutylaldoxime,Camphene,Carveol,Caryophyllene,Caryophyllene.oxide,Limonene.Oxide,alpha.Bergamotene,X.Z..3.Hexenyl.2.methylbutanoate,X.Z..3.Hexenyl.isobutyrate,Copaene,beta.Elemene,gamma.Elemene,Terpinolene,beta.Sesquiphellandrene,D.Carvone,D.Limonene,X.E..beta.Ocimene.epoxide,epsilon.Muurolene,beta.Selinene,Carvacrol,X2.Phenylethanol,Prenol,Isobutylaldoxime,X.E..alpha.Bergamotene,X.E..beta.Ocimene,Tricyclene,alphaPinene,Total,LogTotal
ACJul26_08242017.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1733840,0,0,0,0,0,0,0,191413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158891,0,0,0,0,0,0,0,0,0,0,148130,2232274,14.61853135
AM_84_190719_Paul_832019_04.qgd,0,0,0,0,159582,0,0,0,0,0,95713,0,0,0,0,0,0,0,0,0,540443,0,0,0,0,916257,0,158639,1397744,0,0,0,0,0,0,0,0,0,0,59753,0,0,0,0,0,0,0,0,0,0,177274,0,0,0,0,0,159706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3665111,15.11436918
AM_91_190722_Paul_832019_11.qgd,0,0,0,0,0,0,0,0,0,1667164,0,0,0,0,0,0,0,50663,0,0,0,19432,0,0,0,141098,0,0,3590747,0,0,0,0,0,0,0,111739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409773,0,0,0,0,0,0,0,0,0,0,192683,6183299,15.63736251
AM_92_190722_Paul_842019_02.qgd,0,0,51993,0,0,104284,0,0,0,227806,129565,0,0,0,0,0,0,0,0,0,0,527766,1302863,0,0,675617,0,0,6995304,198234,0,0,0,0,0,0,107227,0,0,83130,0,0,0,0,0,0,98416,0,0,0,66816,130105,0,0,0,0,0,0,0,0,0,0,496883,0,0,0,0,0,72029,302718,57519,0,0,383105,12011380,16.30136509
AM_93_190722_Paul_842019_03.qgd,0,0,0,0,0,0,0,0,0,1073927,0,102914,2985208,0,0,0,0,0,0,0,0,0,0,0,0,466017,0,0,16131317,0,0,262267,0,0,0,139750,287311,0,2843596,70510,0,752732,0,0,0,0,0,0,0,0,626246,845545,0,0,0,0,691230,485054,0,0,85600,0,2461225,0,0,546848,0,0,104193,564026,0,0,0,1769536,33295052,17.32091936
AMAug5_08242017.qgd,0,0,1309071,0,0,0,0,0,0,1842049,8975583,0,0,0,0,0,0,0,0,0,0,0,0,372132,642573,0,0,0,0,0,0,0,0,93305,2077292,0,0,0,19712320,396782,0,0,0,0,0,0,0,2145371,4620936,0,953979,0,0,0,0,0,1234169,469221,0,0,0,1060889,23592826,1236280,0,0,462959,0,0,733999,0,0,0,2676457,74608193,18.12776088
AMJul21_08162017.qgd,0,0,0,0,0,0,0,0,0,2836047,3015989,0,0,0,0,0,289165,398103,0,0,0,0,159293,0,0,228419,0,138633,646727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244981,0,0,0,0,0,0,211989,0,0,153742,0,909942,0,0,0,0,0,0,0,0,0,0,444856,9677886,16.08535405
AMJul28_08242017.qgd,0,0,0,0,0,0,0,0,0,1139335,0,61631,0,0,0,0,0,0,0,0,0,0,0,0,0,404665,0,0,4846814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5474707,248054,0,0,0,0,0,0,134151,0,0,1239469,13548826,16.42181046
Arecon1Jun23_08272018.qgd,0,0,0,0,0,0,0,0,0,0,0,0,152460,0,0,0,0,0,213384,0,0,0,0,0,0,0,0,0,446535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242746,0,0,0,0,0,0,0,0,0,0,157784,1212909,14.00853216
Arecon3Jul13_08262018.qgd,0,0,0,0,0,0,0,0,0,0,0,0,154948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230422,385370,12.86195919
Arecon4Aug3_08222018.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690669,13.44541597
Arecon4Jul17_08242018.qgd,0,0,0,0,0,0,0,0,0,0,0,0,432210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278419,0,0,0,0,0,0,0,0,0,0,205090,1370472,14.13066576
Camrot1Jul12_08282018.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636088,0,0,0,0,0,0,0,0,193314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204654,1034056,13.84899949
Camrot2Jul17_08272018.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,95001,0,0,0,0,0,0,0,0,152876,0,0,0,0,0,504992,0,0,0,0,0,0,0,0,109966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333434,1196269,13.9947181
Camrot3Aug3_08282018.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166464,0,0,0,0,84480,0,0,0,0,0,0,0,0,0,189423,0,0,0,0,0,52945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36805,0,0,0,0,0,0,0,0,0,0,0,246022,776139,13.56208691
Camrot4Aug6_08232018.qgd,730530,74694,0,0,0,0,0,0,0,0,0,0,0,400799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450432,0,0,0,0,0,0,0,0,138250,0,0,0,0,0,0,0,0,0,0,0,0,231763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026468,14.52180493
Camrot5Aug8_08222018.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,604613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285752,0,0,0,0,0,0,0,0,157716,0,0,0,0,0,0,0,0,0,0,0,0,103394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151475,13.95655429
CR_78_190718_Paul_832019_13.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,130357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108608,0,0,0,0,0,0,0,0,45435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863735,0,0,0,0,0,0,0,0,0,0,230716,1378851,14.1367611
CR_79_190718_Paul_832019_14.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,243959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141267,0,0,0,0,0,0,0,0,52778,0,0,0,0,0,0,0,0,0,0,0,0,51163,0,0,0,0,0,0,0,0,0,0,0,99935,0,0,0,0,0,0,0,0,0,0,80105,669207,13.41384871
CR_80_190718_Paul_832019_15.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,234959,0,0,0,0,0,0,0,29277,267416,0,0,0,0,0,161968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568133,0,0,0,0,0,0,0,0,0,0,126040,1387793,14.14322527
CR_81_190718_Paul_832019_16.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,241459,0,0,0,0,0,0,0,0,116127,0,0,0,0,0,131908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433294,0,0,0,0,0,0,0,0,0,0,72657,995445,13.81094515
CR_82_190719_Paul_832019_02.qgd,452453,97944,0,0,0,0,0,0,0,0,0,0,0,640988,0,0,0,0,0,155114,0,0,128451,0,0,0,0,0,68304,0,0,0,0,0,0,0,0,140160,0,0,0,0,0,0,0,0,0,0,0,0,147603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38214,1869231,14.44103767
CRAug9_08262017.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212959,0,0,0,0,0,0,0,0,405788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181397,0,0,0,0,0,0,0,0,0,0,132785,932929,13.74608438
CRJul21_08162017.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61163,0,0,0,0,0,0,0,0,0,135825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234978,0,0,0,0,0,0,0,0,0,0,154332,586298,13.28158347
CRJul26_08242017.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183930,0,0,0,0,0,0,0,0,0,0,121557,663457,13.40521932
CRJul30_08242017.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288572,0,0,0,0,0,1126384,0,0,0,0,0,0,0,0,201536,0,0,0,0,0,0,0,0,0,0,0,0,143125,0,0,0,0,0,0,0,0,0,0,0,188078,0,0,0,0,0,0,0,0,0,0,161516,2109211,14.5618245
Erisub1Jun21_08272018.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684755,494319,0,0,160997,0,0,0,0,0,0,0,922164,0,0,0,0,0,0,0,0,0,0,794094,3695021,15.1224968
Erisub2Jun27_08282018.qgd,0,0,0,0,0,0,0,0,0,0,0,181751,0,0,0,0,0,0,0,0,0,0,0,0,149589,0,0,0,6094121,0,235392,0,0,168960,0,0,0,175581,0,0,0,0,0,0,0,0,508883,0,0,0,296407,0,0,0,0,394325,0,0,0,0,0,0,536987,0,0,0,0,1194787,162036,0,0,467608,0,173515,10739942,16.18948025
Erisub3Jul23_08272018.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437080,0,0,0,0,0,5229899,0,0,0,0,0,0,0,411775,0,0,0,0,0,0,0,0,0,4775821,0,0,0,687411,0,0,0,0,0,0,0,0,0,0,0,1066808,0,0,0,0,0,951176,0,0,0,0,259999,13819969,16.44162513
ES_69_190718_Paul_832019_03.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130015,0,0,0,0,0,1728124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183723,0,0,0,0,0,0,817860,0,0,0,0,2000040,0,0,0,0,0,219709,5079471,15.44071768
ES_70_190718_Paul_832019_04.qgd,0,0,0,0,0,0,0,0,0,0,0,28623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46952,2593237,0,0,0,0,0,0,0,0,27704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657200,0,0,0,0,2004336,48947,0,0,0,0,127478,5534477,15.52650763
ES_71_190718_Paul_832019_05.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394728,0,0,0,0,0,0,1421684,14.16735264
ES_72_190718_Paul_832019_06.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862068,0,0,0,0,0,0,0,0,0,0,223301,1572461,14.26815247
ESAug9_08262017.qgd,0,0,0,0,0,0,0,611877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176599,0,0,0,298406,1086882,13.8988236
ESJul21_08162017.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170967,0,0,0,132074,0,0,0,0,0,0,0,135141,0,0,0,0,0,0,0,0,0,0,166989,779866,13.56687739
ESJul26_08242017.qgd,0,0,0,0,0,0,0,1150333,0,0,0,0,0,0,0,0,0,0,38043,0,0,0,0,0,0,0,0,0,1081892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326589,0,0,0,377701,0,0,0,799827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354958,4129343,15.23362887
ESJul30_08242017.qgd,0,0,0,0,0,0,0,280378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127995,0,0,0,0,1200684,0,0,0,0,0,0,0,0,515674,0,0,0,0,0,0,0,0,457648,0,0,162505,752382,0,0,0,3210301,407787,0,0,0,0,0,0,495616,0,0,0,0,0,119478,0,0,435811,0,189505,8355764,15.93846216
Galbor1Jun21_08242018.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280871,0,0,0,0,0,0,0,0,0,272655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240329,0,0,0,0,0,0,0,0,0,0,0,311908,0,0,0,0,0,0,0,0,0,0,319024,1424787,14.16953289
Galbor2Jun28_08242018.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795416,818414,0,0,0,0,0,0,0,0,4232737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347720,0,0,0,1780423,0,0,0,0,0,0,0,0,0,0,366004,8340714,15.93665938
Galbor3Jul23_08272018.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527582,0,0,4225555,0,0,0,0,0,0,0,0,0,0,105087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65683,0,0,0,0,0,0,0,1636576,0,0,0,0,0,0,0,0,0,0,476897,7037380,15.7667465
Galbor4Jul30_08222018.qgd,0,0,0,0,0,0,0,0,0,0,149646,0,0,0,462646,0,0,0,0,0,0,0,37819,0,0,0,0,0,3403475,0,0,0,0,0,0,0,0,0,0,88540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939754,275488,0,0,0,0,58884,0,0,1483417,0,253878,7153547,15.78311888
Galbor5Aug9_08232018.qgd,0,0,0,0,0,0,0,0,0,2098656,204227,0,0,0,305678,0,0,498044,0,0,0,0,0,284836,0,5219469,0,0,14456830,0,0,377666,0,149912,0,0,0,0,0,108538,2016189,143891,0,0,0,0,0,0,0,0,103685,0,0,0,0,0,0,0,0,0,0,0,7190221,0,0,0,0,0,15753,0,0,0,0,8816069,41989664,17.55293405
GB_87_190722_Paul_832019_07.qgd,0,0,0,0,0,0,0,0,0,1018056,71142,0,0,0,0,469836,0,0,0,0,0,0,38174,0,0,5983501,0,146617,1349629,0,0,0,0,0,0,0,0,0,0,57223,83458,0,0,0,0,0,0,0,0,40312,0,0,97527,0,0,0,0,0,0,0,0,0,2976259,121565,0,0,0,0,38144,0,0,0,35641,235446,12762530,16.36202409
GB_88_190722_Paul_832019_08.qgd,0,0,0,0,0,0,0,0,0,0,108189,0,0,0,0,0,0,0,0,0,0,0,93265,0,0,6992126,0,231012,1472428,0,0,0,0,0,0,0,0,0,0,0,196789,0,0,0,0,0,0,0,0,0,0,0,88007,0,0,0,0,0,0,0,0,0,2331836,147768,0,0,0,0,0,0,0,0,0,171010,11832430,16.28635462
GB_89_190722_Paul_832019_09.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2283513,0,0,0,0,0,0,0,0,0,4729367,0,181787,1064281,0,0,0,0,0,0,0,0,0,0,0,131957,0,0,0,0,0,0,0,0,0,0,0,65543,0,0,0,0,0,0,0,0,0,2143309,236817,0,0,0,0,0,0,0,0,0,207529,11044103,16.21740718
GB_90_190722_Paul_832019_10.qgd,0,0,0,0,0,0,0,0,0,1329686,156125,0,0,0,0,5799879,0,0,0,400252,0,0,0,0,0,17666986,0,495891,1827249,0,0,0,0,0,0,0,0,0,0,63069,535212,0,0,0,0,0,0,0,0,35891,0,0,344606,0,0,0,0,0,0,0,0,0,5017787,391499,0,0,0,0,0,0,0,0,0,520230,34584362,17.35891217
GBAug5_08242017.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318482,0,0,0,0,0,0,0,0,0,0,241906,2540530,14.74788328
GBAug9_08262017.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1571610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254455,1967629,14.49233982
GBJul21_08162017.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156453,0,0,0,0,0,0,0,0,0,0,108232,0,0,0,0,0,0,0,0,0,0,60172,0,0,0,0,0,0,0,0,0,0,0,118270,0,0,0,0,0,0,83067,0,0,0,173681,699875,13.45865703
GBJul26_08242017.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436412,12.98634203
Hetvil1Jul12_08262018.qgd,1848845,0,0,0,0,0,298882,0,0,783304,0,0,0,0,0,0,0,0,0,0,0,13324,441095,0,0,0,0,0,1471459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521769,0,0,0,1710353,1169170,18124,0,509072,0,526693,0,0,0,0,0,799598,0,0,0,0,512249,0,0,0,0,0,402545,11026482,16.21581039
Hetvil2Jul17_08272018.qgd,1241968,0,0,0,0,0,0,0,230883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275158,0,3701197,0,0,0,635499,0,0,0,0,0,0,181117,0,453588,2419983,0,54110,123783,0,0,0,0,951762,675561,0,0,528312,0,1097795,0,0,0,0,0,1358339,0,0,0,0,0,0,0,0,0,0,14657606,28586661,17.16845077
Hetvil3Jul31_08242018.qgd,1607836,0,0,0,0,0,160262,0,0,1412958,0,0,0,0,0,0,113397,0,0,0,0,0,317600,0,164381,0,0,0,6135846,340623,0,0,0,0,0,0,460192,74498,2452183,0,0,89298,0,0,0,273902,481321,0,0,0,1017627,0,44749,0,493779,0,411110,0,0,0,0,115518,8931326,0,0,0,0,0,0,284119,0,0,0,524816,25907341,17.07003692
